date,lat,lon,depth,mag,eq_5km,eq_10km,eq_20km,eq_30km
2009-09-09 19:56:12.760000+00:00,46.1976667,-122.1955,-0.828,2.8,False,False,False,False
2009-09-09 21:51:29.310000+00:00,45.1093333,-120.9535,19.659,1.7,False,False,False,False
2009-09-10 09:08:33.620000+00:00,39.3958333,-122.9028333,7.428,1.97,False,False,True,True
2009-09-10 11:31:54.270000+00:00,41.18,-122.1948333,8.737,1.6,False,False,False,False
2009-09-10 21:21:48+00:00,39.4781667,-121.2265,13.113,2.72,False,False,False,False
2009-09-10 21:36:05.350000+00:00,39.4805,-121.2251667,13.639,1.52,False,False,False,False
2009-09-10 23:40:41.220000+00:00,47.0558333,-120.6548333,12.449,2.1,False,False,False,False
2009-09-11 01:40:21.936000+00:00,40.0954,-119.6462,12.6,1.6,False,False,False,False
2009-09-11 04:43:57.460000+00:00,39.2386667,-123.2326667,5.497,1.74,False,False,True,True
2009-09-11 11:06:58.690000+00:00,39.4,-122.9058333,6.388,1.93,False,False,True,True
2009-09-11 18:35:22.630000+00:00,47.668,-122.1593333,22.58,1.6,False,False,False,True
2009-09-11 18:38:42.800000+00:00,46.7413333,-120.8178333,7.291,2.2,False,False,False,False
2009-09-11 19:34:52.610000+00:00,46.4155,-119.2716667,1.003,2.8,False,False,False,False
2009-09-11 21:55:54.610000+00:00,40.7438333,-121.519,6.77,1.65,False,False,False,False
2009-09-12 10:31:27.740000+00:00,40.4403333,-124.683,23.347,2.91,False,False,False,True
2009-09-12 16:52:37.040000+00:00,45.1223333,-120.9628333,16.135,2.4,False,False,False,False
2009-09-12 21:26:43.400000+00:00,48.5958333,-122.045,1.227,1.8,False,False,False,False
2009-09-13 04:23:11+00:00,47.5873333,-122.003,8.663,2.0,False,False,False,False
2009-09-13 11:56:40.218000+00:00,41.3813,-119.2346,1.8,2.5,False,False,False,False
2009-09-13 12:23:29.800000+00:00,39.9653333,-120.8913333,8.247,2.05,False,False,False,False
2009-09-13 14:28:41.170000+00:00,40.9888333,-123.5125,22.8,2.29,True,True,True,True
2009-09-13 16:31:05.420000+00:00,40.7901667,-123.5995,23.729,1.83,True,True,True,True
2009-09-13 16:36:21.490000+00:00,46.4013333,-119.2825,-0.181,1.7,False,False,False,False
2009-09-13 17:03:10.330000+00:00,39.0425,-123.127,2.569,1.79,False,False,False,True
2009-09-13 19:18:20.150000+00:00,48.6061667,-122.0433333,3.209,2.1,False,False,False,False
2009-09-13 19:25:00.540000+00:00,43.318,-129.619,10.0,2.6,False,False,False,False
2009-09-13 19:52:06.320000+00:00,40.4546667,-124.7236667,24.157,2.5,False,False,False,True
2009-09-13 20:47:21.170000+00:00,48.6571667,-122.2596667,16.426,1.6,False,False,False,False
2009-09-13 21:48:44.450000+00:00,39.0325,-123.1145,4.279,1.72,False,False,True,True
2009-09-14 02:51:41.370000+00:00,39.0286667,-123.1138333,4.499,2.59,False,False,True,True
2009-09-14 04:33:07.760000+00:00,39.0283333,-123.113,4.409,3.34,False,False,True,True
2009-09-14 22:58:19.290000+00:00,40.593,-124.0506667,25.294,1.73,False,False,True,True
2009-09-14 23:14:35.980000+00:00,39.0356667,-123.1178333,3.809,1.52,False,False,True,True
2009-09-15 00:37:36.080000+00:00,39.1211667,-123.0143333,6.007,1.53,False,False,True,True
2009-09-15 05:58:18.990000+00:00,47.5546667,-122.6733333,24.85,1.6,False,True,True,True
2009-09-15 06:43:55.410000+00:00,39.5785,-123.3751667,6.84,1.91,False,False,True,True
2009-09-15 08:18:04.290000+00:00,39.2443333,-123.1283333,7.965,1.61,False,False,True,True
2009-09-15 08:29:20.770000+00:00,39.2485,-123.1265,-0.725,1.86,False,False,False,True
2009-09-15 09:56:12.780000+00:00,43.016,-126.298,10.0,4.1,False,False,False,False
2009-09-15 13:11:33.080000+00:00,39.796,-123.6161667,-0.031,2.05,False,False,True,True
2009-09-15 15:35:13.490000+00:00,40.9416667,-121.6965,4.017,1.5,False,False,False,False
2009-09-15 23:14:29.820000+00:00,40.691,-124.814,26.407,2.57,False,False,False,True
2009-09-16 10:33:03.930000+00:00,47.6195,-122.057,6.011,1.6,False,False,False,False
2009-09-16 10:45:31.290000+00:00,39.2991667,-122.8038333,3.61,1.58,False,False,False,True
2009-09-16 11:41:24.180000+00:00,39.493,-123.1928333,4.049,1.52,False,False,True,True
2009-09-16 16:21:06.550000+00:00,39.17,-123.2591667,3.597,1.7,False,False,True,True
2009-09-16 17:29:24.470000+00:00,40.3043333,-124.4521667,12.407,1.61,False,False,True,True
2009-09-17 00:44:31.350000+00:00,40.7433333,-121.5238333,5.216,2.03,False,False,False,False
2009-09-17 00:52:54.920000+00:00,39.286,-123.4976667,6.491,3.45,False,False,True,True
2009-09-17 10:55:28.980000+00:00,48.0856667,-121.3061667,15.316,2.4,False,False,False,False
2009-09-18 03:49:50.950000+00:00,45.1111667,-122.882,20.558,1.5,False,False,False,True
2009-09-18 08:43:57.580000+00:00,39.4226667,-123.0993333,6.168,1.64,False,False,True,True
2009-09-18 19:26:03.140000+00:00,47.1953333,-121.7465,16.728,2.7,False,False,False,False
2009-09-18 20:51:28.370000+00:00,39.2398333,-123.227,5.217,1.69,False,False,True,True
2009-09-18 22:04:23.090000+00:00,40.5423333,-124.1005,21.648,1.87,False,False,True,True
2009-09-18 22:19:38.320000+00:00,39.3953333,-122.905,6.458,1.64,False,False,True,True
2009-09-19 01:14:41.640000+00:00,39.3455,-122.8386667,7.338,1.93,False,False,True,True
2009-09-19 16:01:06.650000+00:00,47.3273333,-122.3421667,21.698,1.6,False,False,True,True
2009-09-19 20:02:31.720000+00:00,46.496,-119.6691667,7.256,1.5,False,False,False,False
2009-09-19 23:56:24.170000+00:00,40.4838333,-124.4516667,26.897,3.09,False,False,False,True
2009-09-20 13:45:41.370000+00:00,46.8618333,-121.7468333,1.143,1.5,False,False,False,False
2009-09-20 16:43:54.570000+00:00,46.8605,-121.746,-0.628,1.7,False,False,False,False
2009-09-20 16:44:01.080000+00:00,40.3095,-124.397,6.947,1.64,False,False,True,True
2009-09-20 16:45:27.800000+00:00,46.8593333,-121.7486667,0.062,2.3,False,False,False,False
2009-09-20 21:47:55.110000+00:00,46.3453333,-122.4151667,16.879,1.5,False,False,False,True
2009-09-21 06:24:41.550000+00:00,46.8486667,-121.7463333,-0.918,1.6,False,False,False,False
2009-09-21 08:27:08.490000+00:00,39.3956667,-122.9045,8.448,2.34,False,False,True,True
2009-09-21 13:04:27.170000+00:00,39.029,-123.1156667,2.749,1.77,False,False,False,True
2009-09-21 18:03:47.340000+00:00,39.834,-123.4838333,6.026,1.82,False,False,True,True
2009-09-21 19:11:18.240000+00:00,39.8361667,-123.4868333,5.816,2.71,False,False,True,True
2009-09-21 20:44:01.940000+00:00,39.8375,-123.4873333,6.276,1.56,False,False,True,True
2009-09-22 03:36:13.240000+00:00,39.7346667,-122.0481667,27.134,2.38,False,True,True,True
2009-09-22 07:39:06.810000+00:00,39.394,-122.9043333,8.168,1.9,False,False,True,True
2009-09-22 10:05:44.680000+00:00,39.3943333,-122.909,7.941,1.93,False,False,True,True
2009-09-22 18:45:07.010000+00:00,39.349,-123.2808333,1.949,1.88,False,False,False,True
2009-09-22 19:41:23.050000+00:00,39.3485,-123.28,0.226,1.68,False,False,False,True
2009-09-24 11:21:56.660000+00:00,47.7866667,-120.0653333,-0.372,2.6,False,False,False,False
2009-09-24 16:07:47.910000+00:00,40.543,-122.2495,20.104,1.64,False,False,True,True
2009-09-25 12:46:50.030000+00:00,48.6036667,-122.057,1.003,1.5,False,False,False,False
2009-09-25 18:29:17.700000+00:00,40.548,-124.9071667,12.517,2.59,False,False,True,True
2009-09-26 00:49:45.880000+00:00,39.1323333,-123.1316667,5.121,1.91,False,False,True,True
2009-09-26 05:37:53.140000+00:00,45.3676667,-121.6836667,2.343,2.0,False,False,False,False
2009-09-26 06:44:35.430000+00:00,38.9738333,-123.3268333,3.54,1.59,False,False,False,True
2009-09-27 01:15:04.810000+00:00,39.4166667,-120.5726667,-0.563,2.07,False,False,False,False
2009-09-27 07:58:39.280000+00:00,39.0413333,-123.043,5.958,1.53,False,False,True,True
2009-09-27 10:07:51.280000+00:00,45.9915,-122.6183333,18.581,1.7,False,False,False,True
2009-09-27 15:54:40.759000+00:00,39.3642,-119.93,11.5,1.9,False,False,False,False
